286,"Monastir Habib Bourguiba International Airport","Monastir","Tunisia","MIR","DTMB",35.75809860229492,10.75469970703125,9,1,"E","Africa/Tunis","airport","OurAirports"
287,"Tunis Carthage International Airport","Tunis","Tunisia","TUN","DTTA",36.85100173950195,10.22719955444336,22,1,"E","Africa/Tunis","airport","OurAirports"
288,"Sidi Ahmed Air Base","Bizerte","Tunisia",\N,"DTTB",37.245398,9.79145,20,1,"E","Africa/Tunis","airport","OurAirports"
289,"Remada Air Base","Remada","Tunisia",\N,"DTTD",32.30619812011719,10.382100105285645,1004,1,"E","Africa/Tunis","airport","OurAirports"
290,"Gafsa Ksar International Airport","Gafsa","Tunisia","GAF","DTTF",34.422000885009766,8.822500228881836,1060,1,"E","Africa/Tunis","airport","OurAirports"
291,"Gabès Matmata International Airport","Gabes","Tunisia","GAE","DTTG",33.87689971923828,10.103300094604492,26,1,"E","Africa/Tunis","airport","OurAirports"
292,"Borj El Amri Airport","Bordj El Amri","Tunisia",\N,"DTTI",36.72129821777344,9.94314956665039,110,1,"E","Africa/Tunis","airport","OurAirports"
293,"Djerba Zarzis International Airport","Djerba","Tunisia","DJE","DTTJ",33.875,10.775500297546387,19,1,"E","Africa/Tunis","airport","OurAirports"
294,"El Borma Airport","El Borma","Tunisia","EBM","DTTR",31.704299926757812,9.254619598388672,827,1,"E","Africa/Tunis","airport","OurAirports"
295,"Sfax Thyna International Airport","Sfax","Tunisia","SFA","DTTX",34.71799850463867,10.690999984741211,85,1,"E","Africa/Tunis","airport","OurAirports"
1251,"Santander Airport","Santander","Spain","SDR","LEXJ",43.427101135253906,-3.82000994682312,16,1,"E","Europe/Madrid","airport","OurAirports"
1252,"Zaragoza Air Base","Zaragoza","Spain","ZAZ","LEZG",41.66619873046875,-1.0415500402450562,863,1,"E","Europe/Madrid","airport","OurAirports"
1253,"Sevilla Airport","Sevilla","Spain","SVQ","LEZL",37.417999267578125,-5.8931097984313965,112,1,"E","Europe/Madrid","airport","OurAirports"
1254,"Calais-Dunkerque Airport","Calais","France","CQF","LFAC",50.962100982666016,1.954759955406189,12,1,"E","Europe/Paris","airport","OurAirports"
1255,"Péronne-Saint-Quentin Airport","Peronne","France",\N,"LFAG",49.8685,3.02958,295,1,"E","Europe/Paris","airport","OurAirports"
1256,"Nangis-Les Loges Airport","Nangis","France",\N,"LFAI",48.59619903564453,3.0067899227142334,428,1,"E","Europe/Paris","airport","OurAirports"
1257,"Bagnoles-de-l'Orne-Couterne Airport","Bagnole-de-l'orne","France",\N,"LFAO",48.545799255371094,-0.38744398951530457,718,1,"E","Europe/Paris","airport","OurAirports"
1258,"Albert-Bray Airport","Albert","France","BYF","LFAQ",49.9715003967,2.69765996933,364,1,"E","Europe/Paris","airport","OurAirports"
1259,"Le Touquet-Côte d'Opale Airport","Le Tourquet","France","LTQ","LFAT",50.517398834228516,1.6205899715423584,36,1,"E","Europe/Paris","airport","OurAirports"
1260,"Valenciennes-Denain Airport","Valenciennes","France","XVS","LFAV",50.325801849365234,3.4612600803375244,177,1,"E","Europe/Paris","airport","OurAirports"
1261,"Amiens-Glisy Airport","Amiens","France",\N,"LFAY",49.873004,2.387074,208,1,"E","Europe/Paris","airport","OurAirports"
1262,"Agen-La Garenne Airport","Agen","France","AGF","LFBA",44.17470169067383,0.5905560255050659,204,1,"E","Europe/Paris","airport","OurAirports"
1263,"Cazaux (BA 120) Air Base","Cazaux","France",\N,"LFBC",44.53329849243164,-1.125,84,1,"E","Europe/Paris","airport","OurAirports"
1264,"Bordeaux-Mérignac Airport","Bordeaux","France","BOD","LFBD",44.828300476100004,-0.715556025505,162,1,"E","Europe/Paris","airport","OurAirports"
1265,"Bergerac-Roumanière Airport","Bergerac","France","EGC","LFBE",44.82529830932617,0.5186110138893127,171,1,"E","Europe/Paris","airport","OurAirports"
1266,"Toulouse-Francazal (BA 101) Air Base","Toulouse","France",\N,"LFBF",43.54560089111328,1.3674999475479126,535,1,"E","Europe/Paris","airport","OurAirports"
